bond_key,emisor,credit_rating_agency,risk_classification,risk
1,Administradora Jockey Plaza Shopping Center S.A.,apoyo,AA+,low
2,Administradora Jockey Plaza Shopping Center S.A.,apoyo,AA+,low
3,Administradora Jockey Plaza Shopping Center S.A.,apoyo,AA+,low
7,Alicorp S.A.A.,apoyo,AAA,low
8,Alicorp S.A.A.,apoyo,AAA,low
9,Alicorp S.A.A.,apoyo,AAA,low
10,Alicorp S.A.A.,apoyo,CP-1+,low
11,Alicorp S.A.A.,apoyo,BBB,medium low
12,Banco BCI Perú S.A.,apoyo,CP-1+,low
13,Banco de la Nación,apoyo,AA+,low
16,Banco Falabella Perú S.A.,apoyo,CP-1,low
17,Banco Falabella Perú S.A.,apoyo,CP-1,low
18,Banco Falabella Perú S.A.,apoyo,CP-1,low
19,Banco Falabella Perú S.A.,apoyo,CP-1,low
20,Banco Falabella Perú S.A.,apoyo,CP-1,low
21,Banco Falabella Perú S.A.,apoyo,CP-1,low
35,Banco Santander Perú S.A.,apoyo,AAA,low
36,Banco BBVA Perú,apoyo,AAA,low
37,Banco BBVA Perú,apoyo,AAA,low
38,Banco BBVA Perú,apoyo,AA+,low
39,Banco BBVA Perú,apoyo,AA+,low
45,Centenario Renta Inmobiliaria S.A.C.,apoyo,AA,low
48,Caja Municipal de Ahorro y Crédito de Arequipa S.A.,apoyo,A,low
49,Cineplex S.A.,apoyo,AA-,low
50,Compartamos Financiera S.A.,apoyo,CP-1,low
51,Compartamos Financiera S.A.,apoyo,CP-1,low
52,Compartamos Financiera S.A.,apoyo,CP-1,low
53,Compartamos Financiera S.A.,apoyo,CP-1,low
54,Compartamos Financiera S.A.,apoyo,CP-1,low
55,Compartamos Financiera S.A.,apoyo,CP-1,low
56,Conelsur LT S.A.C.,apoyo,AA+,low
57,Corporación Azucarera del Perú S.A.,apoyo,A+,low
58,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
59,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
60,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
61,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
62,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
63,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
64,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+,low
65,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+,low
66,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+,low
67,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+,low
68,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+,low
75,Crediscotia Financiera S.A.,apoyo,CP-1+,low
76,Crediscotia Financiera S.A.,apoyo,CP-1+,low
77,Crediscotia Financiera S.A.,apoyo,CP-1+,low
78,Crediscotia Financiera S.A.,apoyo,CP-1+,low
79,Enel Generación Perú S.A.A.,apoyo,AAA,low
80,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
81,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
82,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
83,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
84,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
85,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
86,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+,low
87,Pacífico Compañía de Seguros y Reaseguros,apoyo,AA+,low
88,Pacífico Compañía de Seguros y Reaseguros,apoyo,AA+,low
89,Atria Energía S.A.C.,apoyo,AA-,low
90,Atria Energía S.A.C.,apoyo,AA-,low
91,Electro Dunas S.A.A.,apoyo,AAA,low
92,Electro Dunas S.A.A.,apoyo,AAA,low
106,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA,low
107,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA,low
108,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA,low
109,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA,low
110,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA,low
111,EuroCapital Servicios Financieros S.A.C.,apoyo,CP-2,medium low
115,Financiera Confianza S.A.A.,apoyo,CP-1,low
116,Financiera Confianza S.A.A.,apoyo,CP-1,low
117,Financiera Confianza S.A.A.,apoyo,CP-1,low
118,Financiera Confianza S.A.A.,apoyo,CP-1,low
121,Financiera OH! S.A.,apoyo,AA-,low
123,Fondo Mivivienda S.A.,apoyo,AAA,low
124,Fondo Mivivienda S.A.,apoyo,AAA,low
125,Fondo Mivivienda S.A.,apoyo,AAA,low
126,Fondo Mivivienda S.A.,apoyo,AAA,low
129,Leche Gloria S.A.,apoyo,AAA,low
132,Banco Internacional del Perú - Interbank,apoyo,CP-1+,low
133,Banco Internacional del Perú - Interbank,apoyo,CP-1+,low
142,Los Portales S.A.,apoyo,CP-1-,low
143,Los Portales S.A.,apoyo,CP-1-,low
144,Los Portales S.A.,apoyo,CP-1-,low
145,Los Portales S.A.,apoyo,CP-1-,low
158,Mibanco Banco de la Microempresa S.A.,apoyo,AA,low
159,Mibanco Banco de la Microempresa S.A.,apoyo,AA,low
160,Mibanco Banco de la Microempresa S.A.,apoyo,CP-1+,low
161,Mibanco Banco de la Microempresa S.A.,apoyo,CP-1+,low
162,Red Vial 5 S.A. (Antes Norvial S.A.),apoyo,AA,low
164,Softys Perú S.A.C.,apoyo,AA,low
165,Red de Energía del Perú S.A.,apoyo,AAA,low
166,Red de Energía del Perú S.A.,apoyo,AAA,low
167,Scotiabank Perú S.A.,apoyo,BBB+,medium low
168,Telefónica del Peru S.A.A.,apoyo,AAA,low
169,Telefónica del Peru S.A.A.,apoyo,AAA,low
170,Telefónica del Peru S.A.A.,apoyo,AAA,low
1,Administradora Jockey Plaza Shopping Center S.A.,moodys_local_peru,AA+,low
2,Administradora Jockey Plaza Shopping Center S.A.,moodys_local_peru,AA+,low
3,Administradora Jockey Plaza Shopping Center S.A.,moodys_local_peru,AA+,low
7,Alicorp S.A.A.,moodys_local_peru,AAA,low
8,Alicorp S.A.A.,moodys_local_peru,AAA,low
9,Alicorp S.A.A.,moodys_local_peru,AAA,low
10,Alicorp S.A.A.,moodys_local_peru,ML-1,low
11,Alicorp S.A.A.,moodys_local_peru,Baa3,medium low
12,Banco BCI Perú S.A.,moodys_local_peru,ML-1,low
13,Banco de la Nación,moodys_local_peru,AA+,low
16,Banco Falabella Perú S.A.,moodys_local_peru,ML-1,low
17,Banco Falabella Perú S.A.,moodys_local_peru,ML-1,low
18,Banco Falabella Perú S.A.,moodys_local_peru,ML-1,low
19,Banco Falabella Perú S.A.,moodys_local_peru,ML-1,low
20,Banco Falabella Perú S.A.,moodys_local_peru,ML-1,low
21,Banco Falabella Perú S.A.,moodys_local_peru,ML-1,low
23,Banco GNB Peru S.A.,moodys_local_peru,ML-1,low
24,Banco GNB Peru S.A.,moodys_local_peru,ML-1,low
25,Banco GNB Peru S.A.,moodys_local_peru,ML-1,low
31,Banco Interamericano de Finanzas- Banbif ,moodys_local_peru,ML-1,low
32,Banco Interamericano de Finanzas- Banbif ,moodys_local_peru,ML-1,low
33,Banco Interamericano de Finanzas- Banbif ,moodys_local_peru,ML-1,low
34,Banco Ripley Perú S.A.,moodys_local_peru,ML-1,low
35,Banco Santander Perú S.A.,moodys_local_peru,AAA,low
36,Banco BBVA Perú,moodys_local_peru,AAA,low
37,Banco BBVA Perú,moodys_local_peru,ML-2+,medium low
38,Banco BBVA Perú,moodys_local_peru,AA+,low
39,Banco BBVA Perú,moodys_local_peru,AA+,low
40,Bosques Amazónicos S.A.C.,moodys_local_peru,ML-2,medium low
41,Bosques Amazónicos S.A.C.,moodys_local_peru,ML-2,medium low
42,Bosques Amazónicos S.A.C.,moodys_local_peru,ML-2,medium low
46,Cementos Pacasmayo S.A.A.,moodys_local_peru,AAA,low
47,Cementos Pacasmayo S.A.A.,moodys_local_peru,AAA,low
51,Compartamos Financiera S.A.,moodys_local_peru,ML-1,low
52,Compartamos Financiera S.A.,moodys_local_peru,ML-1,low
53,Compartamos Financiera S.A.,moodys_local_peru,ML-1,low
54,Compartamos Financiera S.A.,moodys_local_peru,ML-1,low
55,Compartamos Financiera S.A.,moodys_local_peru,ML-1,low
57,Corporación Azucarera del Perú S.A.,moodys_local_peru,A,low
58,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
59,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
60,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
61,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
62,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
63,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
64,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,AA,low
65,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1,low
66,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1,low
67,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1,low
68,Corporación Financiera de Desarrollo - COFIDE,moodys_local_peru,ML-1,low
69,Corporación Primax,moodys_local_peru,AA+,low
70,Corporación Primax,moodys_local_peru,AA+,low
71,Corporación Primax,moodys_local_peru,AA+,low
72,Corporación Primax,moodys_local_peru,AA+,low
73,Corporación Primax,moodys_local_peru,AA+,low
74,Cosapi S.A.,moodys_local_peru,A-,low
75,Crediscotia Financiera S.A.,moodys_local_peru,ML-1,low
76,Crediscotia Financiera S.A.,moodys_local_peru,ML-1,low
77,Crediscotia Financiera S.A.,moodys_local_peru,EQL-1+,low
78,Crediscotia Financiera S.A.,moodys_local_peru,ML-1,low
80,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
81,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
82,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
83,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
84,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
85,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
86,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),moodys_local_peru,ML-1,low
87,Pacífico Compañía de Seguros y Reaseguros,moodys_local_peru,AA+,low
88,Pacífico Compañía de Seguros y Reaseguros,moodys_local_peru,AA+,low
103,Enel Distribución Perú S.A.A.,moodys_local_peru,ML-2+,medium low
106,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA,low
107,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA,low
108,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA,low
109,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA,low
110,Engie Energía Perú S.A (antes Enersur S.A),moodys_local_peru,AAA,low
112,Inverfal S.A.A.,moodys_local_peru,AA+,low
113,Inverfal S.A.A.,moodys_local_peru,AA+,low
114,Inverfal S.A.A.,moodys_local_peru,AA,low
115,Financiera Confianza S.A.A.,moodys_local_peru,ML-1,low
116,Financiera Confianza S.A.A.,moodys_local_peru,ML-1,low
117,Financiera Confianza S.A.A.,moodys_local_peru,ML-1,low
118,Financiera Confianza S.A.A.,moodys_local_peru,ML-1,low
119,Financiera Efectiva S.A.,moodys_local_peru,ML-1,low
120,Financiera Efectiva S.A.,moodys_local_peru,ML-1,low
123,Fondo Mivivienda S.A.,moodys_local_peru,AAA,low
124,Fondo Mivivienda S.A.,moodys_local_peru,AAA,low
125,Fondo Mivivienda S.A.,moodys_local_peru,AAA,low
126,Fondo Mivivienda S.A.,moodys_local_peru,AAA,low
127,Gas Natural de Lima y Callao S.A.,moodys_local_peru,AAA,low
128,Gas Natural de Lima y Callao S.A.,moodys_local_peru,AAA,low
132,Banco Internacional del Perú - Interbank,moodys_local_peru,ML-1,low
133,Banco Internacional del Perú - Interbank,moodys_local_peru,ML-1,low
134,Interseguro Compañía de Seguros S.A.,moodys_local_peru,AA,low
135,Interseguro Compañía de Seguros S.A.,moodys_local_peru,AA,low
136,Interseguro Compañía de Seguros S.A.,moodys_local_peru,AA,low
137,Incimmet S.A.,moodys_local_peru,ML-2,medium low
140,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),moodys_local_peru,AA-,low
155,Luz del Sur S.A.A.,moodys_local_peru,ML-1,low
156,Luz del Sur S.A.A.,moodys_local_peru,ML-1,low
157,Luz del Sur S.A.A.,moodys_local_peru,ML-1,low
158,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,AA,low
159,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,AA,low
160,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,ML-1,low
161,Mibanco Banco de la Microempresa S.A.,moodys_local_peru,ML-1,low
162,Red Vial 5 S.A. (Antes Norvial S.A.),moodys_local_peru,AA,low
164,Softys Perú S.A.C.,moodys_local_peru,AA,low
165,Red de Energía del Perú S.A.,moodys_local_peru,AAA,low
166,Red de Energía del Perú S.A.,moodys_local_peru,AAA,low
171,Yura S.A.,moodys_local_peru,AAA,low
172,Yura S.A.,moodys_local_peru,AAA,low
173,Yura S.A.,moodys_local_peru,AAA,low
51,Compartamos Financiera S.A.,jcr_latino_america,P1-,low
52,Compartamos Financiera S.A.,jcr_latino_america,P1-,low
53,Compartamos Financiera S.A.,jcr_latino_america,P1-,low
54,Compartamos Financiera S.A.,jcr_latino_america,P1-,low
55,Compartamos Financiera S.A.,jcr_latino_america,P1-,low
119,Financiera Efectiva S.A.,jcr_latino_america,P1-,low
120,Financiera Efectiva S.A.,jcr_latino_america,P1-,low
4,Agrícola y Ganadera Chavín de Huántar S.A.,pcr,p2,medium low
5,Agrícola y Ganadera Chavín de Huántar S.A.,pcr,p2,medium low
6,Agrícola y Ganadera Chavín de Huántar S.A.,pcr,p2,medium low
14,Banco Pichincha,pcr,pAA,low
15,Banco Pichincha,pcr,pAA-,low
22,Banco GNB Peru S.A.,pcr,AA,low
23,Banco GNB Peru S.A.,pcr,p1,low
24,Banco GNB Peru S.A.,pcr,p1,low
25,Banco GNB Peru S.A.,pcr,p1,low
26,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
27,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
28,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
29,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
30,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
31,Banco Interamericano de Finanzas- Banbif ,pcr,p1+,low
32,Banco Interamericano de Finanzas- Banbif ,pcr,p1+,low
33,Banco Interamericano de Finanzas- Banbif ,pcr,p1+,low
34,Banco Ripley Perú S.A.,pcr,p1-,low
35,Banco Santander Perú S.A.,pcr,pAAA,low
36,Banco BBVA Perú,pcr,pAAA,low
38,Banco BBVA Perú,pcr,pAA+,low
39,Banco BBVA Perú,pcr,pAA+,low
40,Bosques Amazónicos S.A.C.,pcr,p1-,low
41,Bosques Amazónicos S.A.C.,pcr,p1-,low
42,Bosques Amazónicos S.A.C.,pcr,p1-,low
43,Bosques Amazónicos S.A.C.,pcr,PA+,low
44,Bosques Amazónicos S.A.C.,pcr,pA+,low
45,Centenario Renta Inmobiliaria S.A.C.,pcr,pAA,low
79,Enel Generación Perú S.A.A.,pcr,pAAA,low
93,Enel Distribución Perú S.A.A.,pcr,pAAA,low
94,Enel Distribución Perú S.A.A.,pcr,pAAA,low
95,Enel Distribución Perú S.A.A.,pcr,pAAA,low
96,Enel Distribución Perú S.A.A.,pcr,pAAA,low
97,Enel Distribución Perú S.A.A.,pcr,pAAA,low
98,Enel Distribución Perú S.A.A.,pcr,pAAA,low
99,Enel Distribución Perú S.A.A.,pcr,pAAA,low
100,Enel Distribución Perú S.A.A.,pcr,pAAA,low
101,Enel Distribución Perú S.A.A.,pcr,pAAA,low
102,Enel Distribución Perú S.A.A.,pcr,pAAA,low
103,Enel Distribución Perú S.A.A.,pcr,pAAA,low
104,Enel Distribución Perú S.A.A.,pcr,pAAA,low
105,Enel Distribución Perú S.A.A.,pcr,AAA,low
119,Financiera Efectiva S.A.,pcr,p1,low
120,Financiera Efectiva S.A.,pcr,p1,low
138,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA,low
139,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA,low
140,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA,low
141,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA-,low
142,Los Portales S.A.,pcr,p2+,medium low
143,Los Portales S.A.,pcr,p2+,medium low
144,Los Portales S.A.,pcr,p2+,medium low
145,Los Portales S.A.,pcr,p1-,low
146,Luz del Sur S.A.A.,pcr,pAAA,low
147,Luz del Sur S.A.A.,pcr,pAAA,low
148,Luz del Sur S.A.A.,pcr,pAAA,low
149,Luz del Sur S.A.A.,pcr,pAAA,low
150,Luz del Sur S.A.A.,pcr,pAAA,low
151,Luz del Sur S.A.A.,pcr,pAAA,low
152,Luz del Sur S.A.A.,pcr,PAAA,low
153,Luz del Sur S.A.A.,pcr,pAAA,low
154,Luz del Sur S.A.A.,pcr,pAAA,low
155,Luz del Sur S.A.A.,pcr,p1+,low
156,Luz del Sur S.A.A.,pcr,p1+,low
157,Luz del Sur S.A.A.,pcr,p1+,low
