timestamp,first,last,annualized_return,ticker
2014-12-31,20.59,20.16,-0.020883924235065576,ARKK
2015-12-31,20.24,20.4601,0.010874505928853972,ARKK
2016-12-31,16.74,20.05,0.19772998805256892,ARKK
2017-12-31,22.0912,37.08,0.6784964148620263,ARKK
2018-12-31,41.24,37.19,-0.09820562560620771,ARKK
2019-12-31,43.05,50.05,0.16260162601626016,ARKK
2020-12-31,51.8,124.49,1.4032818532818534,ARKK
2021-12-31,137.44,94.59,-0.3117724097788125,ARKK
2022-12-31,75.43,31.24,-0.585841177250431,ARKK
2023-12-31,39.93,52.37,0.31154520410718756,ARKK
2024-12-31,45.41,46.87,0.03215150847830883,ARKK
2022-12-31,18.1001,19.79,0.09336412506008251,AZTD
2023-12-31,21.3204,21.81,0.022963921877638294,AZTD
2024-12-31,21.6944,25.16,0.1597462939744818,AZTD
2013-12-31,30.5,20.25,-0.33606557377049184,BRZU
2014-12-31,13.54,8.81,-0.34933530280649916,BRZU
2015-12-31,7.04,11.63,0.6519886363636365,BRZU
2016-12-31,9.7,31.05,2.2010309278350517,BRZU
2017-12-31,41.35,40.28,-0.02587666263603383,BRZU
2018-12-31,60.31,24.97,-0.5859724755430278,BRZU
2019-12-31,40.64,38.8,-0.04527559055118113,BRZU
2020-12-31,29.82,116.1,2.8933601609657944,BRZU
2021-12-31,97.52,66.48,-0.3182936833470057,BRZU
2022-12-31,83.75,68.61,-0.1807761194029851,BRZU
2023-12-31,79.59,102.88,0.29262470159567777,BRZU
2024-12-31,90.53,69.87,-0.22821164254943105,BRZU
2011-12-31,51.29,42.6,-0.16942873854552543,DUST
2012-12-31,30.32,31.51,0.039248021108179376,DUST
2013-12-31,41.87,44.05,0.05206591831860519,DUST
2014-12-31,30.02,24.6601,-0.17854430379746833,DUST
2015-12-31,12.11,16.52,0.36416184971098264,DUST
2016-12-31,13.587,48.37,2.5600206079340544,DUST
2017-12-31,30.32,23.7,-0.2183377308707124,DUST
2018-12-31,21.7,22.86,0.05345622119815663,DUST
2019-12-31,18.1,5.62,-0.6895027624309392,DUST
2020-12-31,5.66,19.9,2.515901060070671,DUST
2021-12-31,20.88,18.94,-0.09291187739463591,DUST
2022-12-31,20.46,14.64,-0.28445747800586507,DUST
2023-12-31,11.59,10.19,-0.12079378774805871,DUST
2024-12-31,12.5,4.95,-0.604,DUST
2008-12-31,25.47,25.47,0.0,FAS
2009-12-31,9.17,74.13,7.083969465648854,FAS
2010-12-31,69.4,27.844,-0.5987896253602305,FAS
2011-12-31,29.95,64.866,1.1658096828046745,FAS
2012-12-31,79.36,119.9204,0.5110937500000001,FAS
2013-12-31,142.32,90.3,-0.36551433389544685,FAS
2014-12-31,80.66,127.15,0.5763699479295812,FAS
2015-12-31,106.76,29.069,-0.7277163731734733,FAS
2016-12-31,21.99,40.9,0.8599363346975899,FAS
2017-12-31,41.5,68.38,0.6477108433734939,FAS
2018-12-31,78.8,44.77,-0.4318527918781725,FAS
2019-12-31,57.7,94.64,0.640207972270364,FAS
2020-12-31,93.08,60.8,-0.34679845294370437,FAS
2021-12-31,57.01,130.73,1.2931064725486756,FAS
2022-12-31,127.92,73.55,-0.4250312695434647,FAS
2023-12-31,88.34,82.65,-0.06441023318994787,FAS
2024-12-31,89.0,125.51,0.4102247191011237,FAS
2013-12-31,19.45,15.6,-0.19794344473007708,JNUG
2014-12-31,21.6,24.34,0.12685185185185177,JNUG
2015-12-31,34.1,31.05,-0.0894428152492669,JNUG
2016-12-31,29.35,5.58,-0.8098807495741056,JNUG
2017-12-31,8.93,17.76,0.988801791713326,JNUG
2018-12-31,16.52,9.21,-0.44249394673123477,JNUG
2019-12-31,11.62,83.47,6.183304647160069,JNUG
2020-12-31,76.5,120.56,0.5759477124183008,JNUG
2021-12-31,100.58,64.13,-0.36239809107178367,JNUG
2022-12-31,52.48,36.17,-0.31078506097560965,JNUG
2023-12-31,42.5,33.89,-0.20258823529411762,JNUG
2024-12-31,26.7,50.79,0.902247191011236,JNUG
2023-12-31,22.0553,22.0553,0.0,NRSH
2024-12-31,21.2136,23.0,0.08421012935098249,NRSH
2011-12-31,29.98,19.57,-0.3472314876584389,NUGT
2012-12-31,25.01,10.97,-0.561375449820072,NUGT
2013-12-31,7.77,27.41,2.527670527670528,NUGT
2014-12-31,36.53,11.16,-0.69449767314536,NUGT
2015-12-31,18.56,24.28,0.3081896551724139,NUGT
2016-12-31,25.67,7.64,-0.7023763147643163,NUGT
2017-12-31,11.08,31.7,1.8610108303249095,NUGT
2018-12-31,32.39,17.5,-0.4597097869712874,NUGT
2019-12-31,21.34,34.84,0.63261480787254,NUGT
2020-12-31,33.02,69.4,1.10175651120533,NUGT
2021-12-31,62.81,51.14,-0.1857984397388951,NUGT
2022-12-31,44.85,34.47,-0.2314381270903011,NUGT
2023-12-31,42.38,34.78,-0.1793298725814063,NUGT
2024-12-31,27.85,53.52,0.9217235188509874,NUGT
2009-12-31,41.53,31.2,-0.24873585359980743,TMF
2010-12-31,33.49,34.45,0.028665273215885412,TMF
2011-12-31,31.21,71.52,1.2915732137135532,TMF
2012-12-31,70.45,71.81,0.019304471256210043,TMF
2013-12-31,64.93,43.6,-0.3285076235946405,TMF
2014-12-31,52.09,86.04,0.6517565751583798,TMF
2015-12-31,112.72,74.23,-0.3414655784244144,TMF
2016-12-31,87.4,18.09,-0.793020594965675,TMF
2017-12-31,18.36,22.11,0.20424836601307184,TMF
2018-12-31,19.95,19.37,-0.029072681704260583,TMF
2019-12-31,19.45,25.84,0.32853470437018006,TMF
2020-12-31,31.99,35.14,0.09846827133479219,TMF
2021-12-31,31.33,28.14,-0.10181934248324287,TMF
2022-12-31,24.82,7.62,-0.6929895245769541,TMF
2023-12-31,9.32,64.58,5.929184549356223,TMF
2024-12-31,59.26,57.35,-0.03223084711441104,TMF
1999-12-31,31.06,31.06,0.0,XLY
2000-12-31,27.2,25.59,-0.05919117647058825,XLY
2001-12-31,28.57,28.6,0.0010500525026251317,XLY
2002-12-31,29.54,23.11,-0.2176709546377793,XLY
2003-12-31,22.34,31.49,0.40957923008057295,XLY
2004-12-31,31.31,35.29,0.12711593740019156,XLY
2005-12-31,33.78,32.65,-0.03345174659561878,XLY
2006-12-31,33.23,38.42,0.1561841709298828,XLY
2007-12-31,39.46,32.7,-0.17131272174353773,XLY
2008-12-31,32.58,21.57,-0.33793738489871084,XLY
2009-12-31,19.28,29.77,0.5440871369294604,XLY
2010-12-31,28.91,37.41,0.29401591144932526,XLY
2011-12-31,37.18,39.02,0.049488972565895795,XLY
2012-12-31,41.32,47.4391,0.148090513068732,XLY
2013-12-31,50.13,66.83,0.33313385198483925,XLY
2014-12-31,62.82,72.15,0.14851957975167163,XLY
2015-12-31,69.99,78.1608,0.1167423917702528,XLY
2016-12-31,74.11,81.4,0.0983672918634464,XLY
2017-12-31,84.83,98.69,0.1633855947188494,XLY
2018-12-31,107.81,99.01,-0.0816250811613023,XLY
2019-12-31,108.78,125.42,0.1529692958264386,XLY
2020-12-31,125.32,160.78,0.2829556335780403,XLY
2021-12-31,162.01,204.44,0.2618974137398926,XLY
2022-12-31,184.95,129.16,-0.30164909434982423,XLY
2023-12-31,148.7,178.81,0.202488231338265,XLY
2024-12-31,170.92,199.67,0.16820734846711916,XLY
